ts,open,high,low,close,volume,funding_rate,timestamp,ret_1,ret_log,realized_vol_annual,price_stretch_z,funding_annualized,funding_z,trend_ema_fast,trend_ema_slow,funding_extreme_score,price_stretch_score,funding_price_conflict,funding_directional_score,trend_alignment_score,edge_funding_reversion,edge_carry_momentum,edge_carry_stress,edge_mark_dislocation,edge_options_vol_premium,edge_skew_panic,edge_term_structure_kink,edge_total
1777312800,76725.5,76870.5,76654.0,76828.0,110.41365496,2.2021391192130102e-07,2026-04-27 18:00:00+00:00,0.0,0.0,,,0.00024113423355382464,,76828.0,76828.0,0.0,0.0,0.0,0.0005358538523418325,0.0,0.0,0.0,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11005155544592063
1777316400,76827.5,76875.5,76364.5,76852.5,172.86408719,2.2009041543312747e-07,2026-04-27 19:00:00+00:00,0.00031889415317332137,0.0003188433172400914,,,0.0002409990048992746,,76831.76923076923,76828.67123287672,0.0,0.0,0.0,0.0005355533442206103,1.0,0.0,0.0005355533442206103,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11012653291411151
1777320000,76854.0,77044.0,76822.5,76953.0,112.60955182,5.6718572827625995e-08,2026-04-27 20:00:00+00:00,0.001307699814579788,0.001306845519870179,,,6.210683724625047e-05,,76850.4201183432,76832.07750046914,0.0,0.0,0.0,0.0001380151938805566,1.0,0.0,0.0001380151938805566,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11007087757306391
1777323600,76953.0,76960.5,76767.0,76767.0,62.06116679,-2.863826604261086e-06,2026-04-27 21:00:00+00:00,-0.0024170597637519498,-0.002419985568216397,,,-0.0031358901316658892,,76837.5862539827,76830.2945552508,0.0,0.0,0.0,0.006968644737035309,0.0,0.0,0.0,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11005155544592063
1777327200,76767.5,77055.5,76748.0,77041.5,77.18809747,-4.606380078432804e-06,2026-04-27 22:00:00+00:00,0.0035757552073156784,0.003569377393809165,,,-0.0050439861858839205,,76868.95759952383,76836.08100579189,0.0,0.0,1.0,0.011208858190853157,0.0,0.0,0.0,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11005155544592063
1777330800,77041.0,77436.5,77000.5,77358.0,98.54984815,-4.843346584880824e-06,2026-04-27 23:00:00+00:00,0.004108175463873431,0.004099759951446938,,,-0.005303464510444502,,76944.19489190477,76850.38015631813,0.0,0.0,1.0,0.01178547668987667,0.0,0.0,0.0,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11005155544592063
1777334400,77358.0,77466.0,77208.5,77380.5,98.20849892,-4.8348273127130245e-06,2026-04-28 00:00:00+00:00,0.0002908555029861315,0.00029081321272436103,,,-0.005294135907420762,,77011.31875468865,76864.90398765188,0.0,0.0,1.0,0.011764746460935026,0.0,0.0,0.0,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11005155544592063
1777338000,77380.5,77380.5,77036.5,77087.5,61.02066893,-4.824001855933493e-06,2026-04-28 01:00:00+00:00,-0.00378648367482759,-0.0037936705518686366,,,-0.005282282032247175,,77023.03894627502,76871.00250853813,0.0,0.0,0.0,0.011738404516104832,0.0,0.0,0.0,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11005155544592063
1777341600,77087.5,77227.5,76677.0,76888.0,136.57441955,-4.831510981598165e-06,2026-04-28 02:00:00+00:00,-0.0025879682179341668,-0.0025913227966279716,,,-0.00529050452484999,,77002.26372377118,76871.46819323572,0.0,0.0,0.0,0.011756676721888867,0.0,0.0,0.0,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11005155544592063
1777345200,76886.5,76886.5,76678.5,76804.5,65.79169585,-4.837143140668304e-06,2026-04-28 03:00:00+00:00,-0.00108599521381747,-0.0010865853339034344,,,-0.0052966717390317926,,76971.83853549868,76869.63344821557,0.0,0.0,0.0,0.011770381642292872,0.0,0.0,0.0,0.0,0.0,0.9063203739826465,0.0,0.010775921400025368,0.11005155544592063
