signal_id,timestamp,direction,entry_price,tp,sl,atr_at_entry,regime,ema_state,swing,rsi_state,stoch_state,atr_state,vwap_state,n_matches,top_params,top_wr_oos,top_exp_oos,outcome,exit_price,exit_time,n_bars,r_realized
b09b2655,2026-05-01 07:00:00+00:00,LONG,77038.9,77477.76,76819.47,219.4288,range,1,0,weak,weak,neutral,1,2,votes=2/2,1.0,1.0,win,77477.76,2026-05-02T15:30:00+00:00,1,2.0
12c43918,2026-05-05 14:15:00+00:00,LONG,81409.03,81847.89,81189.6,219.4288,bull,1,0,strong,weak,expansion,1,2,votes=2/2,1.0,1.0,loss,81189.6,2026-05-05T14:30:00+00:00,1,-1.0
