ts,open,high,low,close,volume,funding_rate,timestamp,ret_1,ret_log,realized_vol_annual,price_stretch_z,funding_annualized,funding_z,trend_ema_fast,trend_ema_slow,funding_extreme_score,price_stretch_score,funding_price_conflict,funding_directional_score,trend_alignment_score,edge_funding_reversion,edge_carry_momentum,edge_carry_stress,edge_mark_dislocation,edge_options_vol_premium,edge_skew_panic,edge_term_structure_kink,edge_total
1769796000,82835.5,84080.0,81774.0,83844.5,1106.49768761,,2026-01-30 18:00:00+00:00,0.0,0.0,,,,,83844.5,83844.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769799600,83833.5,84539.5,83827.5,84131.5,796.67544725,,2026-01-30 19:00:00+00:00,0.003423003297771565,0.0034171581568098975,,,,,83888.65384615384,83852.36301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769803200,84157.0,84187.5,83450.5,83790.0,604.1569488,,2026-01-30 20:00:00+00:00,-0.004059121732050475,-0.004067382328089371,,,,,83873.47633136094,83850.65443798086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769806800,83804.0,84409.5,83679.0,84171.0,277.91438567,,2026-01-30 21:00:00+00:00,0.004547081990690982,0.0045367752453097905,,,,,83919.24920345926,83859.43102872111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769810400,84163.0,84217.5,83807.0,84124.5,168.91991941,,2026-01-30 22:00:00+00:00,-0.0005524468047189979,-0.0005525994596801061,,,,,83950.8262490809,83866.69319231779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769814000,84124.0,84199.0,83826.5,84150.0,166.69162791,,2026-01-30 23:00:00+00:00,0.0003031221582296961,0.00030307622599010987,,,,,83981.46836460692,83874.45502266524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769817600,84149.5,84181.0,83920.0,83961.5,115.70470121,,2026-01-31 00:00:00+00:00,-0.0022400475341651793,-0.0022425601936619313,,,,,83978.39630851355,83876.83981656481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769821200,83961.5,84142.5,83805.0,83899.5,72.02706789,,2026-01-31 01:00:00+00:00,-0.0007384336868684338,-0.0007387064633165303,,,,,83966.25841489609,83877.46064350825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769824800,83899.0,84082.5,83716.0,84030.5,95.4508239,,2026-01-31 02:00:00+00:00,0.0015613919034083157,0.0015601741984486207,,,,,83976.1417356813,83881.65350259021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769828400,84030.5,84120.0,83919.5,83919.5,32.53672075,,2026-01-31 03:00:00+00:00,-0.0013209489411583064,-0.0013218221632834836,,,,,83967.42762249957,83882.6903929302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769832000,83919.0,84036.5,83835.0,83885.5,74.79238356,,2026-01-31 04:00:00+00:00,-0.00040515017367837025,-0.00040523226918474063,,,,,83954.82337288425,83882.76736846636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769835600,83886.0,83990.0,83795.0,83895.5,49.04276507,,2026-01-31 05:00:00+00:00,0.00011921011378612789,0.0001192030088251633,,,,,83945.69670013282,83883.11620768646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769839200,83895.5,83932.5,83546.0,83675.0,69.09586896,,2026-01-31 06:00:00+00:00,-0.0026282696926533955,-0.0026317296572518005,,,,,83904.05105395854,83877.41439377723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769842800,83675.0,83688.0,83282.5,83413.0,351.83379984,,2026-01-31 07:00:00+00:00,-0.003131162234837115,-0.003136074580221234,,,,,83828.50473796492,83864.69071175593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769846400,83413.0,83544.5,82468.0,82954.5,787.77694587,,2026-01-31 08:00:00+00:00,-0.005496745111673196,-0.005511907804248552,,,,,83694.0424705857,83839.753979927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769850000,82954.0,83179.0,82778.0,82978.0,175.75598664,,2026-01-31 09:00:00+00:00,0.0002832878264591443,0.0002832477080393621,,,,,83583.8820904956,83816.1442818468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769853600,82978.5,83078.5,82800.0,83045.5,239.61972443,,2026-01-31 10:00:00+00:00,0.0008134686302392335,0.0008131379439561687,,,,,83501.05407657319,83795.03073987839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769857200,83044.5,83045.0,82722.5,82903.0,70.48605176,,2026-01-31 11:00:00+00:00,-0.0017159268112059145,-0.001717400699914707,,,,,83409.04575710038,83770.59154152556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769860800,82902.5,83031.0,82610.0,82651.0,184.60967379,,2026-01-31 12:00:00+00:00,-0.003039696995283614,-0.0030443262576118606,,,,,83292.4233329311,83739.91780066185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769864400,82654.0,82817.0,82368.0,82654.0,175.14561211,,2026-01-31 13:00:00+00:00,3.6297201485790964e-05,3.6296542758313045e-05,,,,,83194.204358634,83710.16662804098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769868000,82661.5,82817.5,80730.5,81393.0,1593.82971147,,2026-01-31 14:00:00+00:00,-0.015256369927650226,-0.015373945725437595,,,,,82917.09599576723,83646.68261083438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769871600,81392.5,81673.5,80993.0,81201.5,713.49202167,,2026-01-31 15:00:00+00:00,-0.002352782180285784,-0.0023555543212959605,,,,,82653.15815026459,83579.69130642797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769875200,81188.5,82176.0,79972.5,80250.0,1720.20837895,,2026-01-31 16:00:00+00:00,-0.01171776383441192,-0.011786957893288923,,,,,82283.44151176234,83488.46688707378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8994746438418014,0.22916666666666696,0.007871973799976098,0.13638159411701334
1769878800,80238.0,80413.5,78008.0,78776.5,2280.61098639,,2026-01-31 17:00:00+00:00,-0.018361370716510894,-0.018532032973971945,0.5094865500069254,,,,81743.91204841429,83359.37190386628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769882400,78776.0,79049.0,75524.5,77906.0,2786.62352123,,2026-01-31 18:00:00+00:00,-0.011050249757224573,-0.011111757302629224,0.5316524865149098,,,,81153.46404096595,83209.96445444529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769886000,77915.0,78436.0,77060.5,77642.5,1418.68884839,,2026-01-31 19:00:00+00:00,-0.0033822812106898414,-0.003388014054159841,0.5157296387691125,,,,80613.31572697118,83057.43118172076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769889600,77641.5,78007.5,76977.5,77881.5,760.90435512,,2026-01-31 20:00:00+00:00,0.0030782110313294364,0.003073483039771798,0.5297703194859159,,,,80193.03638436024,82915.62484797499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769893200,77875.5,78266.5,77268.0,78201.5,499.38453005,,2026-01-31 21:00:00+00:00,0.004108806327561831,0.004100388233842835,0.5274516016850943,,,,79886.64617138174,82786.47074255103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769896800,78201.5,78396.0,77884.5,78055.5,282.740773,,2026-01-31 22:00:00+00:00,-0.001866971861153588,-0.0018687168253229975,0.525660144578958,,,,79604.93137578455,82656.8551057688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769900400,78054.5,79136.0,77978.5,78644.5,468.9124218,,2026-01-31 23:00:00+00:00,0.007545912844066027,0.0075175848614794545,0.5604710248236715,,,,79457.17270258692,82546.92756862445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769904000,78647.5,79338.5,78562.5,78820.5,430.2315782,,2026-02-01 00:00:00+00:00,0.0022379187355758834,0.002235418325224265,0.568695128014824,,,,79359.22305603509,82444.83366263473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769907600,78820.5,78860.0,78197.5,78447.5,369.91003208,,2026-02-01 01:00:00+00:00,-0.004732271426849621,-0.004743504074580533,0.5687620520591671,,,,79218.95797049123,82335.31767187761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769911200,78447.5,78965.5,78306.0,78823.0,160.59298991,,2026-02-01 02:00:00+00:00,0.004786640746996307,0.004775221208496004,0.5813263051716955,,,,79158.04135964644,82239.08979045632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769914800,78823.0,78918.0,78577.0,78784.0,206.18266868,,2026-02-01 03:00:00+00:00,-0.0004947794425484986,-0.0004949018862869784,0.5822682517719697,,,,79100.49653508545,82144.42979619723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769918400,78784.0,79038.0,78640.0,78884.0,142.74869405,,2026-02-01 04:00:00+00:00,0.0012692932575142368,0.001268488385834257,0.5855738552320872,,,,79067.18937584152,82055.1029524658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769922000,78880.5,78896.0,78431.0,78517.5,267.21363185,,2026-02-01 05:00:00+00:00,-0.004646062572891796,-0.004656889068339854,0.5843545686202459,,,,78982.62177955822,81958.18232363112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769925600,78517.5,78725.0,78200.0,78231.5,186.7797808,,2026-02-01 06:00:00+00:00,-0.0036425000796000973,-0.0036491501364814913,0.5845924576703173,,,,78867.06458270311,81856.08143805218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769929200,78231.5,78649.5,77904.0,78278.0,1222.43971764,,2026-02-01 07:00:00+00:00,0.0005943897279228061,0.0005942131483164141,0.5881159841396505,,,,78776.43926228725,81758.0518096124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769932800,78278.0,78784.0,78176.0,78533.5,331.18054832,,2026-02-01 08:00:00+00:00,0.0032640077671888257,0.0032586924568390025,0.5956676418352834,,,,78739.06399116614,81669.70792441754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769936400,78533.5,79067.5,78475.0,78958.0,201.03284965,,2026-02-01 09:00:00+00:00,0.005405336576110864,0.005390780175629514,0.6118184859296307,,,,78772.74645406366,81595.41455662527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769940000,78958.5,79140.0,78065.5,78192.5,545.56111138,,2026-02-01 10:00:00+00:00,-0.00969502773626485,-0.009742330500368868,0.6259507767812567,,,,78683.4777688231,81502.18402082732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769943600,78193.0,78818.0,78193.0,78680.0,434.03896286,,2026-02-01 11:00:00+00:00,0.006234613294113789,0.0062152584974410246,0.6477390046112671,,,,78682.9427274657,81424.86391066767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769947200,78680.0,78692.0,78179.0,78380.0,175.45872951,,2026-02-01 12:00:00+00:00,-0.0038129130655820687,-0.0038202007493728838,0.6483034008794607,,,,78636.33615400945,81341.44298160827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769950800,78380.0,78699.5,78129.5,78249.0,174.07330852,,2026-02-01 13:00:00+00:00,-0.0016713447307986629,-0.0016727429855976274,0.6468679078310728,,,,78576.74597646952,81256.71851635873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769954400,78266.0,78452.5,77046.5,78133.0,977.33659182,,2026-02-01 14:00:00+00:00,-0.001482447060026315,-0.0014835469718442957,0.5918935172614206,,,,78508.47736470497,81171.13718714342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
1769958000,78142.5,78193.0,76720.5,77503.5,673.60453204,,2026-02-01 15:00:00+00:00,-0.008056774986241355,-0.00808940618415988,0.6043073343796265,,,,78353.86546244267,81070.65397653675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666696,0.007871973799976098,0.028444636855997168
