regime,ema_state,ema_slope,swing,rsi_state,stoch_state,atr_state,vwap_state,direction,params,n_IS,wins,wr_IS,exp_R_IS,n_OOS,wr_OOS,exp_R_OOS
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR7,22,18,0.8182,1.4545,5.0,0.6,0.8
bull,-1,-1,0,oversold,weak,expansion,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR7,22,18,0.8182,1.4545,6.0,0.6667,1.0
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR14,55,45,0.8182,1.4545,7.0,0.7143,1.1429
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK5SS3SD3_ATR14,49,40,0.8163,1.449,10.0,0.6,0.8
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR21,59,48,0.8136,1.4407,7.0,0.7143,1.1429
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR21,32,26,0.8125,1.4375,6.0,0.5,0.5
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA50_RSI21_SK21SS5SD5_ATR7,21,17,0.8095,1.4286,9.0,0.3333,-0.0
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA100_RSI14_SK21SS5SD5_ATR14,21,17,0.8095,1.4286,8.0,0.625,0.875
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR21,21,17,0.8095,1.4286,7.0,0.5714,0.7143
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR21,42,34,0.8095,1.4286,9.0,0.5556,0.6667
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI14_SK5SS3SD3_ATR14,26,21,0.8077,1.4231,3.0,1.0,2.0
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA21_RSI7_SK14SS3SD3_ATR14,31,25,0.8065,1.4194,12.0,0.4167,0.25
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK5SS3SD3_ATR21,56,45,0.8036,1.4107,11.0,0.6364,0.9091
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR7,25,20,0.8,1.4,4.0,0.5,0.5
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA200_RSI7_SK14SS3SD3_ATR7,25,20,0.8,1.4,3.0,0.6667,1.0
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA21_RSI21_SK21SS5SD5_ATR21,30,24,0.8,1.4,17.0,0.5294,0.5882
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA21_RSI21_SK21SS5SD5_ATR14,30,24,0.8,1.4,16.0,0.5625,0.6875
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI14_SK5SS3SD3_ATR14,25,20,0.8,1.4,3.0,1.0,2.0
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR7,45,36,0.8,1.4,7.0,0.7143,1.1429
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI14_SK21SS5SD5_ATR7,55,44,0.8,1.4,10.0,0.6,0.8
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA50_RSI14_SK14SS3SD3_ATR7,20,16,0.8,1.4,4.0,0.75,1.25
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR14,69,55,0.7971,1.3913,11.0,0.6364,0.9091
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR21,73,58,0.7945,1.3836,11.0,0.6364,0.9091
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR14,68,54,0.7941,1.3824,11.0,0.7273,1.1818
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR21,29,23,0.7931,1.3793,6.0,0.8333,1.5
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR14,29,23,0.7931,1.3793,5.0,0.6,0.8
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA100_RSI7_SK14SS3SD3_ATR14,29,23,0.7931,1.3793,12.0,0.4167,0.25
