regime,ema_state,ema_slope,swing,rsi_state,stoch_state,atr_state,vwap_state,direction,params,n,wins,wr,exp_R
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR21,21,17,0.8095,1.4286
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR21,42,34,0.8095,1.4286
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI14_SK5SS3SD3_ATR14,26,21,0.8077,1.4231
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA21_RSI7_SK14SS3SD3_ATR14,31,25,0.8065,1.4194
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK5SS3SD3_ATR21,56,45,0.8036,1.4107
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR7,25,20,0.8,1.4
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA200_RSI7_SK14SS3SD3_ATR7,25,20,0.8,1.4
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA21_RSI21_SK21SS5SD5_ATR21,30,24,0.8,1.4
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA21_RSI21_SK21SS5SD5_ATR14,30,24,0.8,1.4
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI14_SK5SS3SD3_ATR14,25,20,0.8,1.4
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI7_SK21SS5SD5_ATR7,45,36,0.8,1.4
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI14_SK21SS5SD5_ATR7,55,44,0.8,1.4
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA50_RSI14_SK14SS3SD3_ATR7,20,16,0.8,1.4
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR14,69,55,0.7971,1.3913
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR21,73,58,0.7945,1.3836
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR14,68,54,0.7941,1.3824
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR21,29,23,0.7931,1.3793
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR14,29,23,0.7931,1.3793
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA100_RSI7_SK14SS3SD3_ATR14,29,23,0.7931,1.3793
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI21_SK21SS5SD5_ATR7,29,23,0.7931,1.3793
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA200_RSI7_SK5SS3SD3_ATR7,29,23,0.7931,1.3793
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI14_SK5SS3SD3_ATR14,29,23,0.7931,1.3793
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR21,24,19,0.7917,1.375
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK21SS5SD5_ATR7,24,19,0.7917,1.375
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR7,48,38,0.7917,1.375
bull,-1,-1,-1,weak,oversold,neutral,-1,SHORT,EMA21_RSI21_SK21SS5SD5_ATR7,24,19,0.7917,1.375
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA21_RSI7_SK5SS3SD3_ATR14,48,38,0.7917,1.375
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA100_RSI7_SK14SS3SD3_ATR7,24,19,0.7917,1.375
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR21,72,57,0.7917,1.375
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI14_SK21SS5SD5_ATR14,67,53,0.791,1.3731
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI14_SK21SS5SD5_ATR21,71,56,0.7887,1.3662
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR14,80,63,0.7875,1.3625
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI7_SK5SS3SD3_ATR14,47,37,0.7872,1.3617
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK5SS3SD3_ATR14,47,37,0.7872,1.3617
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA200_RSI7_SK14SS3SD3_ATR7,28,22,0.7857,1.3571
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI7_SK21SS5SD5_ATR14,56,44,0.7857,1.3571
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR14,56,44,0.7857,1.3571
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR7,28,22,0.7857,1.3571
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR7,28,22,0.7857,1.3571
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA50_RSI7_SK14SS3SD3_ATR14,28,22,0.7857,1.3571
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI21_SK21SS5SD5_ATR21,79,62,0.7848,1.3544
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK14SS3SD3_ATR7,37,29,0.7838,1.3514
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR21,60,47,0.7833,1.35
bull,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR7,60,47,0.7833,1.35
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR7,60,47,0.7833,1.35
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI7_SK21SS5SD5_ATR21,60,47,0.7833,1.35
